# Componentwise physical Kelvin-Voigt MMS errors
# generated_utc=2026-08-01T15:55:26.463
# julia_version=1.11.6
# trixi_commit=b5b1747b7a9f0a0fc34452d4222d35b0a26ac943
# trixi_worktree=clean
# julia_threads=1
# command=degree-split clean convergence campaign assembled without altering numerical rows
# elixir=/home/sundriyal/Projects/Trixi-damped-clean/examples/damped_intrinsic_beam/elixir_mms_rich_physical.jl
# rich_mms_lambda=2.0
# rich_mms_profile=exp1
# polydegs=1,2,3
# refinement_levels=2,3,4,5,6,7
# sigmas=1.0
# auxiliary_fluxes=alternating,br1
# rock4_abstol_reltol=1.0e-12
polydeg,refinement_level,ncells,h,hyperbolic_flux,auxiliary_flux,component_index,block,component,l2_error,l2_eoc,linf_error,linf_eoc
1,7,128,7.8125000000000000e-03,upwind,br1,12,u2,m3,4.6873637866105824e-05,2.00247431,1.3052220317810725e-04,2.03636495
2,2,4,2.5000000000000000e-01,upwind,alternating,1,u1,v1,3.8230169995617526e-03,NaN,1.0344340137717012e-02,NaN
2,2,4,2.5000000000000000e-01,upwind,alternating,2,u1,v2,1.5846687292544257e-03,NaN,4.6882076193046629e-03,NaN
2,2,4,2.5000000000000000e-01,upwind,alternating,3,u1,v3,8.4203857739417014e-03,NaN,2.3806148771308600e-02,NaN
2,2,4,2.5000000000000000e-01,upwind,alternating,4,u1,omega1,2.8185442908288017e-03,NaN,8.0888568744121869e-03,NaN
2,2,4,2.5000000000000000e-01,upwind,alternating,5,u1,omega2,1.0729759412846107e-03,NaN,5.6347549147961473e-03,NaN
2,2,4,2.5000000000000000e-01,upwind,alternating,6,u1,omega3,3.2498674899868454e-03,NaN,1.3097208306306563e-02,NaN
2,2,4,2.5000000000000000e-01,upwind,alternating,7,u2,f1,4.1368061143274805e-03,NaN,8.8829769318241603e-03,NaN
2,2,4,2.5000000000000000e-01,upwind,alternating,8,u2,f2,6.1463293054866671e-03,NaN,2.4239929617169587e-02,NaN
2,2,4,2.5000000000000000e-01,upwind,alternating,9,u2,f3,3.4445788033927861e-03,NaN,7.9503819114183916e-03,NaN
2,2,4,2.5000000000000000e-01,upwind,alternating,10,u2,m1,1.9619662787466342e-03,NaN,6.7090380278459483e-03,NaN
