# Componentwise numerical Kelvin-Voigt resultant errors
# r_tau is reconstructed from Trixi's discrete auxiliary gradient
# generated_utc=2026-08-01T15:55:26.622
# julia_version=1.11.6
# trixi_commit=b5b1747b7a9f0a0fc34452d4222d35b0a26ac943
# trixi_worktree=clean
# julia_threads=1
# command=degree-split clean convergence campaign assembled without altering numerical rows
# elixir=/home/sundriyal/Projects/Trixi-damped-clean/examples/damped_intrinsic_beam/elixir_mms_rich_physical.jl
# rich_mms_lambda=2.0
# rich_mms_profile=exp1
# polydegs=1,2,3
# refinement_levels=2,3,4,5,6,7
# sigmas=1.0
# auxiliary_fluxes=alternating,br1
# rock4_abstol_reltol=1.0e-12
polydeg,refinement_level,ncells,h,hyperbolic_flux,auxiliary_flux,component_index,component,l2_error,l2_eoc,linf_error,linf_eoc
2,5,32,3.1250000000000000e-02,upwind,br1,6,r_tau_m3,7.1787816782615109e-07,2.92341621,5.8126380534928579e-06,3.12515720
2,6,64,1.5625000000000000e-02,upwind,br1,1,r_tau_f1,4.1850379909840719e-07,2.37417120,3.7294910354146449e-06,1.95757901
2,6,64,1.5625000000000000e-02,upwind,br1,2,r_tau_f2,3.1592757188470334e-07,3.03642767,4.6282458715518615e-06,2.63837354
2,6,64,1.5625000000000000e-02,upwind,br1,3,r_tau_f3,1.0211473941172513e-07,3.37321716,2.0964190134281635e-06,2.68673471
2,6,64,1.5625000000000000e-02,upwind,br1,4,r_tau_m1,5.5540510017761279e-08,3.69272316,9.2458478935519839e-07,2.25320163
2,6,64,1.5625000000000000e-02,upwind,br1,5,r_tau_m2,1.2541139802236585e-07,3.45738940,1.2323964010962918e-06,2.68836371
2,6,64,1.5625000000000000e-02,upwind,br1,6,r_tau_m3,6.9329318541250533e-08,3.37220154,1.0384606739521907e-06,2.48474649
2,7,128,7.8125000000000000e-03,upwind,br1,1,r_tau_f1,6.3668413130622434e-08,2.71659101,7.3156611596347787e-07,2.34991860
2,7,128,7.8125000000000000e-03,upwind,br1,2,r_tau_f2,3.9601316283873159e-08,2.99597356,7.7201250470171345e-07,2.58376939
2,7,128,7.8125000000000000e-03,upwind,br1,3,r_tau_f3,1.3694779427041416e-08,2.89849319,3.7313817842499208e-07,2.49014521
2,7,128,7.8125000000000000e-03,upwind,br1,4,r_tau_m1,7.1794572535821746e-09,2.95159374,1.9464515840783569e-07,2.24795917
2,7,128,7.8125000000000000e-03,upwind,br1,5,r_tau_m2,1.1699840339274171e-08,3.42210773,2.0935014048706346e-07,2.55747658
2,7,128,7.8125000000000000e-03,upwind,br1,6,r_tau_m3,7.4404231741367655e-09,3.22000900,1.9553276067729719e-07,2.40896433
3,2,4,2.5000000000000000e-01,upwind,alternating,1,r_tau_f1,3.6607002295970365e-06,NaN,2.3496363993819047e-05,NaN
3,2,4,2.5000000000000000e-01,upwind,alternating,2,r_tau_f2,2.2042611383257179e-05,NaN,1.3033749765267721e-04,NaN
3,2,4,2.5000000000000000e-01,upwind,alternating,3,r_tau_f3,1.2731949153228152e-05,NaN,7.7026257333620562e-05,NaN
3,2,4,2.5000000000000000e-01,upwind,alternating,4,r_tau_m1,6.8839540634172954e-06,NaN,4.0560091664171294e-05,NaN
3,2,4,2.5000000000000000e-01,upwind,alternating,5,r_tau_m2,1.1975267559242556e-05,NaN,6.6542814405864958e-05,NaN
3,2,4,2.5000000000000000e-01,upwind,alternating,6,r_tau_m3,8.9373322839745066e-06,NaN,5.6967212900965736e-05,NaN
3,3,8,1.2500000000000000e-01,upwind,alternating,1,r_tau_f1,4.2271874610545329e-07,3.11434964,1.9588031189843313e-06,3.58439322
3,3,8,1.2500000000000000e-01,upwind,alternating,2,r_tau_f2,2.1383371015062895e-06,3.36573394,1.3730619568497193e-05,3.24678357
3,3,8,1.2500000000000000e-01,upwind,alternating,3,r_tau_f3,1.1197093164060360e-06,3.50725715,9.1598738626852416e-06,3.07195069
3,3,8,1.2500000000000000e-01,upwind,alternating,4,r_tau_m1,4.6115623966656638e-07,3.89990995,3.1067553669383852e-06,3.70658036
3,3,8,1.2500000000000000e-01,upwind,alternating,5,r_tau_m2,7.0808197169659712e-07,4.07999769,4.4366500452919233e-06,3.90674022
3,3,8,1.2500000000000000e-01,upwind,alternating,6,r_tau_m3,5.8119836240243438e-07,3.94274172,5.0447665342900905e-06,3.49727241
3,4,16,6.2500000000000000e-02,upwind,alternating,1,r_tau_f1,7.7840386365672499e-08,2.44110732,3.0339280546187730e-07,2.69071362
